Source URI,Target URI,Strength,Valid,Cluster ID
https://gallica.bnf.fr/ark:/12148/bpt6k1320056t,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1320177b,http://www.vondel.humanities.uva.nl/onstage/plays/721,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1320380h,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1320469t,http://www.vondel.humanities.uva.nl/onstage/plays/727,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k13205628,http://www.vondel.humanities.uva.nl/onstage/plays/1528,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1320581m,http://www.vondel.humanities.uva.nl/onstage/plays/727,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1320593t,http://www.vondel.humanities.uva.nl/onstage/plays/729,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1320601x,http://www.vondel.humanities.uva.nl/onstage/plays/729,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1320714w,http://www.vondel.humanities.uva.nl/onstage/plays/731,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k13207337,http://www.vondel.humanities.uva.nl/onstage/plays/733,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1320734n,http://www.vondel.humanities.uva.nl/onstage/plays/727,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k13207352,http://www.vondel.humanities.uva.nl/onstage/plays/727,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1321027d,http://www.vondel.humanities.uva.nl/onstage/plays/747,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k135033f,http://www.vondel.humanities.uva.nl/onstage/plays/1528,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k135036k,http://www.vondel.humanities.uva.nl/onstage/plays/721,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1520745x,http://www.vondel.humanities.uva.nl/onstage/plays/170,1.00000,accepted,2
https://gallica.bnf.fr/ark:/12148/bpt6k1526247w,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k1644368,http://www.vondel.humanities.uva.nl/onstage/plays/1528,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k164439d,http://www.vondel.humanities.uva.nl/onstage/plays/729,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k204308f,http://www.vondel.humanities.uva.nl/onstage/plays/727,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k204333k,http://www.vondel.humanities.uva.nl/onstage/plays/1528,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k2065310,http://www.vondel.humanities.uva.nl/onstage/plays/727,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k24837w,http://www.vondel.humanities.uva.nl/onstage/plays/747,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k320215x,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k320219f,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k320220c,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k320221r,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k320752q,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k320854s,http://www.vondel.humanities.uva.nl/onstage/plays/1139,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k3209399,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k3209420,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k320943c,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k320946h,http://www.vondel.humanities.uva.nl/onstage/plays/741,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k324258j,http://www.vondel.humanities.uva.nl/onstage/plays/733,1.00000,accepted,1
https://gallica.bnf.fr/ark:/12148/bpt6k33262828,http://www.vondel.humanities.uva.nl/onstage/plays/727,1.00000,accepted,1
